"Period","Begin","End"
"Period 1","08:15","09:35"
"Period 2","09:50","11:10"
"Metro","11:15","11:50"
"Lunch","11:50","12:30"
"Period 3","12:30","13:50"
"Period 4","13:55","15:15"
