"Period","Begin","End"
"Period 1","8:15","9:30"
"Period 2","9:40","10:55"
"Period 3","11:00","12:15"
"Lunch","12:15","12:55"
"Period 4","12:55","2:10"
"Flex - Support","2:15","3:15"
