"Period","Begin","End"
"Period 5","08:15","09:35"
"Period 6","9:50","11:10"
"Metro","11:15","11:50"
"Lunch","11:50","12:30"
"Period 7","12:30","13:50"
"Period 8","13:55","15:15"
